files,target
cropped_train/Right_CAM/A/P5_008.jpg,A
cropped_train/Right_CAM/A/P5_007.jpg,A
cropped_train/Right_CAM/A/P5_006.jpg,A
cropped_train/Right_CAM/A/P5_005.jpg,A
cropped_train/Right_CAM/A/P5_004.jpg,A
cropped_train/Right_CAM/A/P5_003.jpg,A
cropped_train/Right_CAM/A/P5_002.jpg,A
cropped_train/Right_CAM/A/P5_001.jpg,A
cropped_train/Right_CAM/A/P4_008.jpg,A
cropped_train/Right_CAM/A/P4_007.jpg,A
cropped_train/Right_CAM/A/P4_006.jpg,A
cropped_train/Right_CAM/A/P4_005.jpg,A
cropped_train/Right_CAM/A/P4_004.jpg,A
cropped_train/Right_CAM/A/P4_003.jpg,A
cropped_train/Right_CAM/A/P4_002.jpg,A
cropped_train/Right_CAM/A/P4_001.jpg,A
cropped_train/Right_CAM/A/P3_008.jpg,A
cropped_train/Right_CAM/A/P3_007.jpg,A
cropped_train/Right_CAM/A/P3_006.jpg,A
cropped_train/Right_CAM/A/P3_005.jpg,A
cropped_train/Right_CAM/A/P3_004.jpg,A
cropped_train/Right_CAM/A/P3_003.jpg,A
cropped_train/Right_CAM/A/P3_002.jpg,A
cropped_train/Right_CAM/A/P3_001.jpg,A
cropped_train/Right_CAM/A/P2_008.jpg,A
cropped_train/Right_CAM/A/P2_007.jpg,A
cropped_train/Right_CAM/A/P2_006.jpg,A
cropped_train/Right_CAM/A/P2_005.jpg,A
cropped_train/Right_CAM/A/P2_004.jpg,A
cropped_train/Right_CAM/A/P2_003.jpg,A
cropped_train/Right_CAM/A/P2_002.jpg,A
cropped_train/Right_CAM/A/P2_001.jpg,A
cropped_train/Right_CAM/A/P1_008.jpg,A
cropped_train/Right_CAM/A/P1_007.jpg,A
cropped_train/Right_CAM/A/P1_006.jpg,A
cropped_train/Right_CAM/A/P1_005.jpg,A
cropped_train/Right_CAM/A/P1_004.jpg,A
cropped_train/Right_CAM/A/P1_003.jpg,A
cropped_train/Right_CAM/A/P1_002.jpg,A
cropped_train/Right_CAM/A/P1_001.jpg,A
cropped_train/Right_CAM/B/P5_008.jpg,B
cropped_train/Right_CAM/B/P5_007.jpg,B
cropped_train/Right_CAM/B/P5_006.jpg,B
cropped_train/Right_CAM/B/P5_005.jpg,B
cropped_train/Right_CAM/B/P5_004.jpg,B
cropped_train/Right_CAM/B/P5_003.jpg,B
cropped_train/Right_CAM/B/P5_002.jpg,B
cropped_train/Right_CAM/B/P5_001.jpg,B
cropped_train/Right_CAM/B/P4_008.jpg,B
cropped_train/Right_CAM/B/P4_007.jpg,B
cropped_train/Right_CAM/B/P4_006.jpg,B
cropped_train/Right_CAM/B/P4_005.jpg,B
cropped_train/Right_CAM/B/P4_004.jpg,B
cropped_train/Right_CAM/B/P4_003.jpg,B
cropped_train/Right_CAM/B/P4_002.jpg,B
cropped_train/Right_CAM/B/P4_001.jpg,B
cropped_train/Right_CAM/B/P3_008.jpg,B
cropped_train/Right_CAM/B/P3_007.jpg,B
cropped_train/Right_CAM/B/P3_006.jpg,B
cropped_train/Right_CAM/B/P3_005.jpg,B
cropped_train/Right_CAM/B/P3_004.jpg,B
cropped_train/Right_CAM/B/P3_003.jpg,B
cropped_train/Right_CAM/B/P3_002.jpg,B
cropped_train/Right_CAM/B/P3_001.jpg,B
cropped_train/Right_CAM/B/P2_008.jpg,B
cropped_train/Right_CAM/B/P2_007.jpg,B
cropped_train/Right_CAM/B/P2_006.jpg,B
cropped_train/Right_CAM/B/P2_005.jpg,B
cropped_train/Right_CAM/B/P2_004.jpg,B
cropped_train/Right_CAM/B/P2_003.jpg,B
cropped_train/Right_CAM/B/P2_002.jpg,B
cropped_train/Right_CAM/B/P1_007.jpg,B
cropped_train/Right_CAM/B/P1_006.jpg,B
cropped_train/Right_CAM/B/P1_005.jpg,B
cropped_train/Right_CAM/B/P1_004.jpg,B
cropped_train/Right_CAM/B/P1_003.jpg,B
cropped_train/Right_CAM/B/P1_008.jpg,B
cropped_train/Right_CAM/B/P1_002.jpg,B
cropped_train/Right_CAM/B/P1_001.jpg,B
cropped_train/Right_CAM/C/P5_008.jpg,C
cropped_train/Right_CAM/C/P5_007.jpg,C
cropped_train/Right_CAM/C/P5_006.jpg,C
cropped_train/Right_CAM/C/P5_005.jpg,C
cropped_train/Right_CAM/C/P5_004.jpg,C
cropped_train/Right_CAM/C/P5_003.jpg,C
cropped_train/Right_CAM/C/P5_002.jpg,C
cropped_train/Right_CAM/C/P5_001.jpg,C
cropped_train/Right_CAM/C/P4_008.jpg,C
cropped_train/Right_CAM/C/P4_007.jpg,C
cropped_train/Right_CAM/C/P4_006.jpg,C
cropped_train/Right_CAM/C/P4_005.jpg,C
cropped_train/Right_CAM/C/P4_004.jpg,C
cropped_train/Right_CAM/C/P4_003.jpg,C
cropped_train/Right_CAM/C/P4_002.jpg,C
cropped_train/Right_CAM/C/P4_001.jpg,C
cropped_train/Right_CAM/C/P3_008.jpg,C
cropped_train/Right_CAM/C/P3_007.jpg,C
cropped_train/Right_CAM/C/P3_006.jpg,C
cropped_train/Right_CAM/C/P3_005.jpg,C
cropped_train/Right_CAM/C/P3_004.jpg,C
cropped_train/Right_CAM/C/P3_003.jpg,C
cropped_train/Right_CAM/C/P3_002.jpg,C
cropped_train/Right_CAM/C/P3_001.jpg,C
cropped_train/Right_CAM/C/P2_008.jpg,C
cropped_train/Right_CAM/C/P2_007.jpg,C
cropped_train/Right_CAM/C/P2_006.jpg,C
cropped_train/Right_CAM/C/P2_005.jpg,C
cropped_train/Right_CAM/C/P2_004.jpg,C
cropped_train/Right_CAM/C/P2_003.jpg,C
cropped_train/Right_CAM/C/P2_002.jpg,C
cropped_train/Right_CAM/C/P2_001.jpg,C
cropped_train/Right_CAM/C/P1_007.jpg,C
cropped_train/Right_CAM/C/P1_006.jpg,C
cropped_train/Right_CAM/C/P1_005.jpg,C
cropped_train/Right_CAM/C/P1_004.jpg,C
cropped_train/Right_CAM/C/P1_008.jpg,C
cropped_train/Right_CAM/C/P1_003.jpg,C
cropped_train/Right_CAM/C/P1_002.jpg,C
cropped_train/Right_CAM/C/P1_001.jpg,C
cropped_train/Right_CAM/D/P5_008.jpg,D
cropped_train/Right_CAM/D/P5_007.jpg,D
cropped_train/Right_CAM/D/P5_006.jpg,D
cropped_train/Right_CAM/D/P5_005.jpg,D
cropped_train/Right_CAM/D/P5_004.jpg,D
cropped_train/Right_CAM/D/P5_003.jpg,D
cropped_train/Right_CAM/D/P5_002.jpg,D
cropped_train/Right_CAM/D/P5_001.jpg,D
